Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1962,1545,1273,1037,1118,1060,1211,1751,5899,8680,9968,2800,1765
1963,1385,1223,1008,983,1075,1277,1982,7616,8410,7928,2372,1907
1964,1780,1424,1135,983,1299,1481,2180,9296,10416,6832,4745,2606
1965,2195,2170,1844,1412,1366,1751,2090,5002,6674,4629,3769,2146
1966,1635,1297,937,995,1332,898,2045,4592,6520,4256,1936,1818
1967,1024,1401,1451,1372,1672,2264,2470,3330,2737,4708,2159,1743
1968,1224,1687,1516,1427,1786,2449,2264,2279,1612,1416,1385,1209
1969,1082,1529,1482,1412,1818,2534,2505,2199,1620,1422,1404,1265
1970,1142,1645,1527,1512,2023,2515,2508,2281,1653,1400,1309,1211
1971,1326,1564,1596,1520,2044,2503,2600,2324,1714,1409,1415,1230
1972,1288,1604,1583,1558,1975,2521,2609,2348,1637,1398,1385,1129
1973,1351,1455,1635,1543,1963,2542,2613,2382,1631,1437,1527,1336
1974,1052,1636,1695,1589,1956,2554,2620,2337,1554,1459,1566,1310
1975,1191,1595,1691,1616,1896,2476,2516,2105,1496,1377,1435,1299
1976,1321,1432,1500,1496,1799,2418,2497,2195,1554,1504,1516,1504
1977,1463,1512,1713,1574,1814,2488,2486,2180,1604,1620,1620,1833
1978,1661,1785,1952,2083,2113,2438,2587,2187,1736,1680,1736,1676
1979,1429,1777,1717,1678,1941,2527,2628,2217,1759,1508,1466,1429
1980,1319,1609,1655,1597,1875,2477,2627,2234,1713,1458,1505,1458
1981,1354,1620,1655,1586,1836,2465,2639,2257,1759,1620,1620,1620
1982,1586,1644,1655,1644,1887,2500,2569,2257,1782,1655,1644,1644
1983,1574,1574,1609,1678,1817,2523,2523,2303,1736,1505,1481,1412
1984,1424,1654,1620,1609,1794,2512,2581,2303,1771,1678,1447,1366
