"","Month","Day","Name","Party","From"
"111",18,3,"Rep. Howard Coble"," R","N.C."
"112",19,3,"Rep. Mike Coffman"," R","Colo."
"113",21,3,"Rep. Jim Matheson"," D","Utah"
"114",22,3,"Sen. Orrin G. Hatch"," R","Utah"
"115",22,3,"Rep. Pete Sessions"," R","Texas"
"116",24,3,"Rep. Ann Kirkpatrick"," D","Ariz."
"117",24,3,"Rep. Steve Stivers"," R","Ohio"
"118",26,3,"Rep. Jason Chaffetz"," R","Utah"
"119",26,3,"Rep. Nancy Pelosi"," D","Calif."
"120",28,3,"Rep. David B. McKinley"," R","W.Va."
"121",28,3,"Rep. Nydia M. Velazquez"," D","N.Y."
"122",30,3,"Sen. Mark Begich"," D","Alaska"
"123",30,3,"Rep. Gerald E. Connolly"," D","Va."
"124",30,3,"Rep. Janice Hahn"," D","Calif."
"125",30,3,"Rep. Patrick Murphy"," D","Fla."
"126",31,3,"Rep. Tony Cardenas"," D","Calif."
"127",31,3,"Sen. Angus King"," I","Maine"
"128",31,3,"Sen. Patrick J. Leahy"," D","Vt."
"129",31,3,"Rep. Stephen F. Lynch"," D","Mass."
"130",2,4,"Rep. Chellie Pingree"," D","Maine"
"131",2,4,"Rep. Lynn Westmoreland"," R","Ga."
"132",5,4,"Rep. Peter T. King"," R","N.Y."
"133",5,4,"Rep. Reid Ribble"," R","Wis."
"134",6,4,"Rep. Michele Bachmann"," R","Minn."
"135",6,4,"Rep. Joe Courtney"," D","Conn."
"136",6,4,"Rep. Tim Walz"," D","Minn."
"137",7,4,"Rep. Robert A. Brady"," D","Pa."
"138",8,4,"Sen. Ron Johnson"," R","Wis."
"139",11,4,"Rep. Kevin Brady"," R","Texas"
"140",12,4,"Rep. Tulsi Gabbard"," D","Hawaii"
"141",12,4,"Rep. Tim Walberg"," R","Mich."
"142",13,4,"Sen. Bob Casey"," D","Pa."
"143",13,4,"Rep. Jim Costa"," D","Calif."
"144",13,4,"Rep. Susan A. Davis"," D","Calif."
"145",13,4,"Rep. Ted Yoho"," R","Fla."
"146",14,4,"Rep. David Valadao"," R","Calif."
"147",16,4,"Rep. John Delaney"," D","Md."
"148",17,4,"Rep. George Holding"," R","N.C"
"149",18,4,"Rep. Justin Amash"," R","Mich."
"150",18,4,"Rep. Bob Latta"," R","Ohio"
"151",18,4,"Rep. Gwen Moore"," D","Wis."
"152",20,4,"Rep. Dan Benishek"," R","Mich."
"153",20,4,"Sen. Pat Roberts"," R","Kan."
"154",22,4,"Rep. Jim Langevin"," D","R.I."
"155",23,4,"Rep. Fred Upton"," R","Mich."
"156",24,4,"Rep. Jack Kingston"," R","Ga."
"157",25,4,"Rep. Keith Rothfus"," R","Pa."
"158",26,4,"Del. Pedro R. Pierluisi"," D","P.R."
"159",26,4,"Rep. Niki Tsongas"," D","Mass."
"160",27,4,"Sen. Cory Booker"," D","N.J."
"161",27,4,"Rep. G.K. Butterfield"," D","N.C."
"162",27,4,"Rep. Daniel Webster"," R","Fla."
"163",28,4,"Rep. Tom Cole"," R","Okla."
"164",29,4,"Rep. Mo Brooks"," R","Ala."
"165",29,4,"Rep. Rodney Frelinghuysen"," R","N.J."
"166",29,4,"Rep. Steven Horsford"," D","Nev."
"167",29,4,"Sen. Debbie Stabenow"," D","Mich."
"168",30,4,"Rep. Robin Kelly"," D","Ill."
"169",30,4,"Rep. Robert C. Scott"," D","Va."
"170",1,5,"Rep. Matt Cartwright"," D","Pa."
"171",1,5,"Rep. Ed Perlmutter"," D","Colo."
"172",2,5,"Rep. Peter Welch"," D","Vt."
"173",3,5,"Rep. Ralph M. Hall"," R","Texas"
"174",3,5,"Sen. Jim Risch"," R","Idaho"
"175",3,5,"Sen. David Vitter"," D","La."
"176",3,5,"Sen. Ron Wyden"," D","Ore."
"177",4,5,"Rep. Colleen Hanabusa"," D","Hawaii"
"178",6,5,"Sen. Richard C. Shelby"," R","Ala."
"179",7,5,"Rep. Ted Deutch"," D","Fla."
"180",7,5,"Rep. Blaine Luetkemeyer"," R","Mo."
"181",7,5,"Rep. Candice S. Miller"," R","Mich."
"182",8,5,"Rep. Vern Buchanan"," R","Fla."
"183",10,5,"Sen. Dean Heller"," R","Nev."
"184",10,5,"Rep. Mike Kelly"," R","Pa."
"185",12,5,"Rep. Frank A. LoBiondo"," R","N.J."
"186",12,5,"Rep. Jared Polis"," D","Colo."
"187",13,5,"Rep. Tom Cotton"," R","Ark."
"188",13,5,"Rep. Chris Gibson"," R","N.Y."
"189",14,5,"Rep. Paul Broun"," R","Ga."
"190",14,5,"Rep. Erik Paulsen"," R","Minn."
"191",14,5,"Rep. Jackie Speier"," D","Calif."
"192",16,5,"Sen. Dan Coats"," R","Ind."
"193",16,5,"Rep. John Conyers Jr."," D","Mich."
"194",16,5,"Rep. Lois Frankel"," D","Fla."
"195",16,5,"Rep. James P. Moran"," D","Va."
"196",17,5,"Rep. George Miller"," D","Calif."
"197",18,5,"Sen. Tom Udall"," D","N.M."
"198",20,5,"Rep. John Carney"," D","Del."
"199",20,5,"Rep. Chris Collins"," R","N.Y."
"200",20,5,"Sen. Michael D. Crapo"," R","Idaho"
"201",20,5,"Rep. Nick J. Rahall II"," D","W.Va."
"202",21,5,"Sen. Al Franken"," D","Minn."
"203",22,5,"Rep. Cathy McMorris Rodgers"," R","Wash."
"204",22,5,"Sen. Lisa Murkowski"," R","Alaska"
"205",22,5,"Rep. John Sarbanes"," D","Md."
"206",23,5,"Rep. Dina Titus"," D","Nev."
"207",24,5,"Rep. Steve Cohen"," D","Tenn."
"208",24,5,"Rep. Charlie Dent"," R","Pa."
"209",24,5,"Rep. Doug Lamborn"," R","Colo."
"210",25,5,"Sen. Amy Klobuchar"," D","Minn."
"211",25,5,"Rep. Edward Whitfield"," R","Ky."
"212",26,5,"Sen. Kay Hagan"," D","N.C."
"213",26,5,"Rep. Rich Nugent"," R","Fla."
"214",26,5,"Rep. Jan Schakowsky"," D","Ill."
"215",27,5,"Rep. Peter A. DeFazio"," D","Ore."
"216",27,5,"Rep. Scott Perry"," R","Pa."
"217",28,5,"Rep. Steve King"," R","Iowa"
"218",28,5,"Rep. Tom Petri"," R","Wis."
"219",28,5,"Rep. Scott Rigell"," R","Va."
"220",28,5,"Sen. Marco Rubio"," R","Fla."
"221",28,5,"Rep. Aaron Schock"," R","Ill."
"222",29,5,"Rep. Jeb Hensarling"," R","Texas"
"223",29,5,"Sen. Jerry Moran"," R","Kan"
"224",30,5,"Rep. Steve Israel"," D","N.Y."
"225",31,5,"Del. Madeleine Z. Bordallo"," D","Guam"
"226",31,5,"Rep. Larry Bucshon"," R","Ind."
"227",1,6,"Rep. Timothy H. Bishop"," D","N.Y."
"228",1,6,"Rep. Gregg Harper"," R","Miss."
"229",2,6,"Rep. Mike Rogers"," R","Mich."
"230",4,6,"Sen. Mike Lee"," R","Utah"
"231",6,6,"Rep. Marsha Blackburn"," R","Tenn."
"232",6,6,"Rep. Eric Cantor"," R","Va."
