“”,”X”,”X.1”,”X.2”,”Month”,”Day”,”Name”,”Party”,”From”,”Age”
"74","Rep. Paul D. Ryan, R-Wis., 44",TRUE,"1/29/2014",29,1,"Rep. Paul D. Ryan"," R","Wis.",44
"75","Rep. Lee Terry, R-Neb., 52",TRUE,"1/29/2014",29,1,"Rep. Lee Terry"," R","Neb.",52
"77","Rep. Frank R. Wolf, R-Va., 75",TRUE,"1/30/2014",30,1,"Rep. Frank R. Wolf"," R","Va.",75
"79","Rep. Bill Huizenga, R-Mich., 45",TRUE,"1/31/2014",31,1,"Rep. Bill Huizenga"," R","Mich.",45
"80","Rep. C.A. Dutch Ruppersberger, D-Md., 68",TRUE,"1/31/2014",31,1,"Rep. C.A. Dutch Ruppersberger"," D","Md.",68
"82","Sen. Michael B. Enzi, R-Wyo., 70",TRUE,"2/1/2014",1,2,"Sen. Michael B. Enzi"," R","Wyo.",70
"84","Sen. John Cornyn, R-Texas, 62",TRUE,"2/2/2014",2,2,"Sen. John Cornyn"," R","Texas",62
"86","Rep. Tom Graves, R-Ga., 44",TRUE,"2/3/2014",3,2,"Rep. Tom Graves"," R","Ga.",44
"87","Rep. Rob Wittman, R-Va., 55",TRUE,"2/3/2014",3,2,"Rep. Rob Wittman"," R","Va.",55
"89","Rep. Sanford D. Bishop Jr., D-Ga., 67",TRUE,"2/4/2014",4,2,"Rep. Sanford D. Bishop Jr."," D","Ga.",67
"91","Rep. Stephen Fincher, R-Tenn., 41",TRUE,"2/7/2014",7,2,"Rep. Stephen Fincher"," R","Tenn.",41
"92","Rep. Michael G. Grimm, R-N.Y., 44",TRUE,"2/7/2014",7,2,"Rep. Michael G. Grimm"," R","N.Y.",44
"93","Rep. Doc Hastings, R-Wash., 73",TRUE,"2/7/2014",7,2,"Rep. Doc Hastings"," R","Wash.",73
"95","Rep. Gus Bilirakis, R-Fla., 51",TRUE,"2/8/2014",8,2,"Rep. Gus Bilirakis"," R","Fla.",51
"97","Rep. Renee Ellmers, R-N.C., 50",TRUE,"2/9/2014",9,2,"Rep. Renee Ellmers"," R","N.C.",50
"98","Rep. Todd Rokita, R-Ind., 44",TRUE,"2/9/2014",9,2,"Rep. Todd Rokita"," R","Ind.",44
"100","Rep. Walter B. Jones, R-N.C., 71",TRUE,"2/10/2014",10,2,"Rep. Walter B. Jones"," R","N.C.",71
"102","Sen. Tammy Baldwin, D-Wis., 52",TRUE,"2/11/2014",11,2,"Sen. Tammy Baldwin"," D","Wis.",52
"103","Rep. Rob Woodall, R-Ga., 44",TRUE,"2/11/2014",11,2,"Rep. Rob Woodall"," R","Ga.",44
"105","Sen. Richard Blumenthal, D-Conn., 68",TRUE,"2/13/2014",13,2,"Sen. Richard Blumenthal"," D","Conn.",68
"106","Rep. Filemon Vela, D-Texas, 51",TRUE,"2/13/2014",13,2,"Rep. Filemon Vela"," D","Texas",51
"108","Rep. Richard E. Neal, D-Mass., 65",TRUE,"2/14/2014",14,2,"Rep. Richard E. Neal"," D","Mass.",65
"110","Rep. Suzan DelBene, D-Wash., 52",TRUE,"2/17/2014",17,2,"Rep. Suzan DelBene"," D","Wash.",52
"111","Rep. J. Randy Forbes, R-Va., 62",TRUE,"2/17/2014",17,2,"Rep. J. Randy Forbes"," R","Va.",62
"112","Rep. Jim Jordan, R-Ohio, 50",TRUE,"2/17/2014",17,2,"Rep. Jim Jordan"," R","Ohio",50
"114","Rep. Eliot L. Engel, D-N.Y., 67",TRUE,"2/18/2014",18,2,"Rep. Eliot L. Engel"," D","N.Y.",67
"115","Rep. Brett Guthrie, R-Ky., 50",TRUE,"2/18/2014",18,2,"Rep. Brett Guthrie"," R","Ky.",50
"116","Rep. Jared Huffman, D-Calif., 50",TRUE,"2/18/2014",18,2,"Rep. Jared Huffman"," D","Calif.",50
"117","Rep. Steve Womack, R-Ark., 57",TRUE,"2/18/2014",18,2,"Rep. Steve Womack"," R","Ark.",57
"119","Rep. Raúl M. Grijalva, D-Ariz., 66",TRUE,"2/19/2014",19,2,"Rep. Raúl M. Grijalva"," D","Ariz.",66
"120","Rep. Carolyn B. Maloney, D-N.Y., 68",TRUE,"2/19/2014",19,2,"Rep. Carolyn B. Maloney"," D","N.Y.",68
"122","Sen. Mitch McConnell, R-Ky., 72",TRUE,"2/20/2014",20,2,"Sen. Mitch McConnell"," R","Ky.",72
"124","Rep. Charles Boustany Jr., R-La., 58",TRUE,"2/21/2014",21,2,"Rep. Charles Boustany Jr."," R","La.",58
