“”,”X”,”X.1”,”X.2”,”Month”,”Day”,”Name”,”Party”,”From”,”Age”
"321","Rep. Edward Whitfield, R-Ky., 71",TRUE,"5/25/2014",25,5,"Rep. Edward Whitfield"," R","Ky.",71
"323","Sen. Kay Hagan, D-N.C., 61",TRUE,"5/26/2014",26,5,"Sen. Kay Hagan"," D","N.C.",61
"324","Rep. Rich Nugent, R-Fla., 63",TRUE,"5/26/2014",26,5,"Rep. Rich Nugent"," R","Fla.",63
"325","Rep. Jan Schakowsky, D-Ill., 70",TRUE,"5/26/2014",26,5,"Rep. Jan Schakowsky"," D","Ill.",70
"327","Rep. Peter A. DeFazio, D-Ore., 67",TRUE,"5/27/2014",27,5,"Rep. Peter A. DeFazio"," D","Ore.",67
"328","Rep. Scott Perry, R-Pa., 52",TRUE,"5/27/2014",27,5,"Rep. Scott Perry"," R","Pa.",52
"330","Rep. Steve King, R-Iowa, 65",TRUE,"5/28/2014",28,5,"Rep. Steve King"," R","Iowa",65
"331","Rep. Tom Petri, R-Wis., 74",TRUE,"5/28/2014",28,5,"Rep. Tom Petri"," R","Wis.",74
"332","Rep. Scott Rigell, R-Va., 54",TRUE,"5/28/2014",28,5,"Rep. Scott Rigell"," R","Va.",54
"333","Sen. Marco Rubio, R-Fla., 43",TRUE,"5/28/2014",28,5,"Sen. Marco Rubio"," R","Fla.",43
"334","Rep. Aaron Schock, R-Ill., 33",TRUE,"5/28/2014",28,5,"Rep. Aaron Schock"," R","Ill.",33
"336","Rep. Jeb Hensarling, R-Texas, 57",TRUE,"5/29/2014",29,5,"Rep. Jeb Hensarling"," R","Texas",57
"337","Sen. Jerry Moran, R-Kan, 60",TRUE,"5/29/2014",29,5,"Sen. Jerry Moran"," R","Kan",60
"339","Rep. Steve Israel, D-N.Y., 56",TRUE,"5/30/2014",30,5,"Rep. Steve Israel"," D","N.Y.",56
"341","Del. Madeleine Z. Bordallo, D-Guam, 81",TRUE,"5/31/2014",31,5,"Del. Madeleine Z. Bordallo"," D","Guam",81
"342","Rep. Larry Bucshon, R-Ind., 52",TRUE,"5/31/2014",31,5,"Rep. Larry Bucshon"," R","Ind.",52
"344","Rep. Timothy H. Bishop, D-N.Y., 64",TRUE,"6/1/2014",1,6,"Rep. Timothy H. Bishop"," D","N.Y.",64
"345","Rep. Gregg Harper, R-Miss., 58",TRUE,"6/1/2014",1,6,"Rep. Gregg Harper"," R","Miss.",58
"347","Rep. Mike Rogers, R-Mich., 51",TRUE,"6/2/2014",2,6,"Rep. Mike Rogers"," R","Mich.",51
"349","Sen. Mike Lee, R-Utah, 43",TRUE,"6/4/2014",4,6,"Sen. Mike Lee"," R","Utah",43
"351","Rep. Marsha Blackburn, R-Tenn., 62",TRUE,"6/6/2014",6,6,"Rep. Marsha Blackburn"," R","Tenn.",62
"352","Rep. Eric Cantor, R-Va., 51",TRUE,"6/6/2014",6,6,"Rep. Eric Cantor"," R","Va.",51
"354","Rep. Ben Ray Lujan, D-N.M., 42",TRUE,"6/7/2014",7,6,"Rep. Ben Ray Lujan"," D","N.M.",42
"356","Rep. Ken Calvert, R-Calif., 61",TRUE,"6/8/2014",8,6,"Rep. Ken Calvert"," R","Calif.",61
"358","Rep. Don Young, R-Alaska, 81",TRUE,"6/9/2014",9,6,"Rep. Don Young"," R","Alaska",81
"360","Rep. Lynn Jenkins, R-Kan., 51",TRUE,"6/10/2014",10,6,"Rep. Lynn Jenkins"," R","Kan.",51
"362","Rep. Charles B. Rangel, D-N.Y., 84",TRUE,"6/11/2014",11,6,"Rep. Charles B. Rangel"," D","N.Y.",84
"363","Rep. K. Michael Conaway, R-Texas, 66",TRUE,"6/11/2014",11,6,"Rep. K. Michael Conaway"," R","Texas",66
"365","Rep. Lucille Roybal Allard, D-Calif., 73",TRUE,"6/12/2014",12,6,"Rep. Lucille Roybal Allard"," D","Calif.",73
"366","Rep. Mark Amodei, R-Nev., 56",TRUE,"6/12/2014",12,6,"Rep. Mark Amodei"," R","Nev.",56
"368","Rep. Jerrold Nadler, D-N.Y., 67",TRUE,"6/13/2014",13,6,"Rep. Jerrold Nadler"," D","N.Y.",67
"369","Del. Eleanor Holmes Norton, D-D.C., 77",TRUE,"6/13/2014",13,6,"Del. Eleanor Holmes Norton"," D","D.C.",77
"371","Rep. Bob Gibbs, R-Ohio, 60",TRUE,"6/14/2014",14,6,"Rep. Bob Gibbs"," R","Ohio",60
"372","Rep. Steny H. Hoyer, D-Md., 75",TRUE,"6/14/2014",14,6,"Rep. Steny H. Hoyer"," D","Md.",75
"373","Rep. Jim Sensenbrenner, R-Wis., 71",TRUE,"6/14/2014",14,6,"Rep. Jim Sensenbrenner"," R","Wis.",71
"375","Rep. Jim Bridenstine, R-Okla., 39",TRUE,"6/15/2014",15,6,"Rep. Jim Bridenstine"," R","Okla.",39
"376","Rep. Rick Larsen, D-Wash., 49",TRUE,"6/15/2014",15,6,"Rep. Rick Larsen"," D","Wash.",49
"377","Rep. Adam Smith, D-Wash., 49",TRUE,"6/15/2014",15,6,"Rep. Adam Smith"," D","Wash.",49
"379","Rep. Robert Hurt, R-Va., 45",TRUE,"6/16/2014",16,6,"Rep. Robert Hurt"," R","Va.",45
"380","Rep. Jason Smith, R-Mo., 34",TRUE,"6/16/2014",16,6,"Rep. Jason Smith"," R","Mo.",34
"382","Rep. Marcy Kaptur, D-Ohio, 68",TRUE,"6/17/2014",17,6,"Rep. Marcy Kaptur"," D","Ohio",68
"383","Rep. Scott Peters, D-Calif., 56",TRUE,"6/17/2014",17,6,"Rep. Scott Peters"," D","Calif.",56
"384","Rep. Brad Wenstrup, R-Ohio, 56",TRUE,"6/17/2014",17,6,"Rep. Brad Wenstrup"," R","Ohio",56
"386","Sen. Mike Johanns, R-Neb., 64",TRUE,"6/18/2014",18,6,"Sen. Mike Johanns"," R","Neb.",64
"387","Rep. Jerry McNerney, D-Calif., 63",TRUE,"6/18/2014",18,6,"Rep. Jerry McNerney"," D","Calif.",63
"388","Sen. Jay Rockefeller, D-W.Va., 77",TRUE,"6/18/2014",18,6,"Sen. Jay Rockefeller"," D","W.Va.",77
"389","Rep. Paul Tonko, D-N.Y., 65",TRUE,"6/18/2014",18,6,"Rep. Paul Tonko"," D","N.Y.",65
"391","Rep. Jim Cooper, D-Tenn., 60",TRUE,"6/19/2014",19,6,"Rep. Jim Cooper"," D","Tenn.",60
"392","Rep. Trent Franks, R-Ariz., 57",TRUE,"6/19/2014",19,6,"Rep. Trent Franks"," R","Ariz.",57
"394","Rep. Dana Rohrabacher, R-Calif., 67",TRUE,"6/21/2014",21,6,"Rep. Dana Rohrabacher"," R","Calif.",67
"396","Sen. Dianne Feinstein, D-Calif., 81",TRUE,"6/22/2014",22,6,"Sen. Dianne Feinstein"," D","Calif.",81
"397","Rep. Adam B. Schiff, D-Calif., 54",TRUE,"6/22/2014",22,6,"Rep. Adam B. Schiff"," D","Calif.",54
"398","Sen. Elizabeth Warren, D-Mass., 65",TRUE,"6/22/2014",22,6,"Sen. Elizabeth Warren"," D","Mass.",65
"400","Rep. Leonard Lance, R-N.J., 62",TRUE,"6/25/2014",25,6,"Rep. Leonard Lance"," R","N.J.",62
"402","Sen. Kelly Ayotte, R-N.H., 46",TRUE,"6/27/2014",27,6,"Sen. Kelly Ayotte"," R","N.H.",46
"403","Rep. Michael M. Honda, D-Calif., 73",TRUE,"6/27/2014",27,6,"Rep. Michael M. Honda"," D","Calif.",73
"404","Rep. Jeff Miller, R-Fla., 55",TRUE,"6/27/2014",27,6,"Rep. Jeff Miller"," R","Fla.",55
"405","Rep. David Scott, D-Ga., 69",TRUE,"6/27/2014",27,6,"Rep. David Scott"," D","Ga.",69
"407","Rep. Donna Edwards, D-Md., 56",TRUE,"6/28/2014",28,6,"Rep. Donna Edwards"," D","Md.",56
"408","Rep. Michael G. Fitzpatrick, R-Pa., 51",TRUE,"6/28/2014",28,6,"Rep. Michael G. Fitzpatrick"," R","Pa.",51
"409","Sen. Carl Levin, D-Mich., 80",TRUE,"6/28/2014",28,6,"Sen. Carl Levin"," D","Mich.",80
"410","Rep. Ed Pastor, D-Ariz., 71",TRUE,"6/28/2014",28,6,"Rep. Ed Pastor"," D","Ariz.",71
"412","Rep. Virginia Foxx, R-N.C., 71",TRUE,"6/29/2014",29,6,"Rep. Virginia Foxx"," R","N.C.",71
"413","Rep. Collin C. Peterson, D-Minn., 70",TRUE,"6/29/2014",29,6,"Rep. Collin C. Peterson"," D","Minn.",70
"415","Rep. Doug LaMalfa, R-Calif., 54",TRUE,"7/2/2014",2,7,"Rep. Doug LaMalfa"," R","Calif.",54
"416","Rep. Randy Weber, R-Texas, 61",TRUE,"7/2/2014",2,7,"Rep. Randy Weber"," R","Texas",61
"418","Sen. Lamar Alexander, R-Tenn., 74",TRUE,"7/3/2014",3,7,"Sen. Lamar Alexander"," R","Tenn.",74
"420","Rep. Sam Farr, D-Calif., 73",TRUE,"7/4/2014",4,7,"Rep. Sam Farr"," D","Calif.",73
"421","Rep. Dan Maffei, D-N.Y., 46",TRUE,"7/4/2014",4,7,"Rep. Dan Maffei"," D","N.Y.",46
"423","Rep. John Fleming, R-La., 63",TRUE,"7/5/2014",5,7,"Rep. John Fleming"," R","La.",63
"424","Rep. Jim Himes, D-Conn., 48",TRUE,"7/5/2014",5,7,"Rep. Jim Himes"," D","Conn.",48
"425","Rep. Nita M. Lowey, D-N.Y., 77",TRUE,"7/5/2014",5,7,"Rep. Nita M. Lowey"," D","N.Y.",77
"426","Sen. Roger Wicker, R-Miss., 63",TRUE,"7/5/2014",5,7,"Sen. Roger Wicker"," R","Miss.",63
"428","Rep. Judy Chu, D-Calif., 61",TRUE,"7/7/2014",7,7,"Rep. Judy Chu"," D","Calif.",61
"430","Rep. John D. Dingell, D-Mich., 88",TRUE,"7/8/2014",8,7,"Rep. John D. Dingell"," D","Mich.",88
"432","Rep. Dave Camp, R-Mich., 61",TRUE,"7/9/2014",9,7,"Rep. Dave Camp"," R","Mich.",61
"433","Rep. Scott Garrett, R-N.J., 55",TRUE,"7/9/2014",9,7,"Rep. Scott Garrett"," R","N.J.",55
"434","Sen. Lindsey Graham, R-S.C., 59",TRUE,"7/9/2014",9,7,"Sen. Lindsey Graham"," R","S.C.",59
"436","Rep. Phil Gingrey, R-Ga., 72",TRUE,"7/10/2014",10,7,"Rep. Phil Gingrey"," R","Ga.",72
"437","Rep. Tom McClintock, R-Calif., 58",TRUE,"7/10/2014",10,7,"Rep. Tom McClintock"," R","Calif.",58
"439","Sen. Edward J. Markey, D-Mass., 68",TRUE,"7/11/2014",11,7,"Sen. Edward J. Markey"," D","Mass.",68
"441","Rep. Betty McCollum, D-Minn., 60",TRUE,"7/12/2014",12,7,"Rep. Betty McCollum"," D","Minn.",60
"442","Rep. Kyrsten Sinema, D-Ariz., 38",TRUE,"7/12/2014",12,7,"Rep. Kyrsten Sinema"," D","Ariz.",38
"444","Rep. Rob Bishop, R-Utah, 63",TRUE,"7/13/2014",13,7,"Rep. Rob Bishop"," R","Utah",63
"446","Rep. Tom Latham, R-Iowa, 66",TRUE,"7/14/2014",14,7,"Rep. Tom Latham"," R","Iowa",66
"448","Rep. David Cicilline, D-R.I., 53",TRUE,"7/15/2014",15,7,"Rep. David Cicilline"," D","R.I.",53
"449","Rep. Daniel Lipinski, D-Ill., 48",TRUE,"7/15/2014",15,7,"Rep. Daniel Lipinski"," D","Ill.",48
"450","Rep. Ileana Ros Lehtinen, R-Fla., 62",TRUE,"7/15/2014",15,7,"Rep. Ileana Ros Lehtinen"," R","Fla.",62
"451","Rep. Chris Stewart, R-Utah, 54",TRUE,"7/15/2014",15,7,"Rep. Chris Stewart"," R","Utah",54
"452","Rep. Mac Thornberry, R-Texas, 56",TRUE,"7/15/2014",15,7,"Rep. Mac Thornberry"," R","Texas",56
"454","Rep. Barbara Lee, D-Calif., 68",TRUE,"7/16/2014",16,7,"Rep. Barbara Lee"," D","Calif.",68
"455","Rep. Mike D. Rogers, R-Ala., 56",TRUE,"7/16/2014",16,7,"Rep. Mike D. Rogers"," R","Ala.",56
"456","Rep. Tim Ryan, D-Ohio, 41",TRUE,"7/16/2014",16,7,"Rep. Tim Ryan"," D","Ohio",41
"458","Rep. Katherine M. Clark, D-Mass., 51",TRUE,"7/17/2014",17,7,"Rep. Katherine M. Clark"," D","Mass.",51
"460","Sen. Mark Udall, D-Colo., 64",TRUE,"7/18/2014",18,7,"Sen. Mark Udall"," D","Colo.",64
"462","Rep. John Campbell, R-Calif., 59",TRUE,"7/19/2014",19,7,"Rep. John Campbell"," R","Calif.",59
"464","Sen. Barbara A. Mikulski, D-Md., 78",TRUE,"7/20/2014",20,7,"Sen. Barbara A. Mikulski"," D","Md.",78
"466","Sen. John Barrasso, R-Wyo., 62",TRUE,"7/21/2014",21,7,"Sen. John Barrasso"," R","Wyo.",62
"467","Rep. James E. Clyburn, D-S.C., 74",TRUE,"7/21/2014",21,7,"Rep. James E. Clyburn"," D","S.C.",74
"468","Rep. John J. Duncan Jr., R-Tenn., 67",TRUE,"7/21/2014",21,7,"Rep. John J. Duncan Jr."," R","Tenn.",67
"469","Rep. Mick Mulvaney, R-S.C., 47",TRUE,"7/21/2014",21,7,"Rep. Mick Mulvaney"," R","S.C.",47
"470","Rep. Phil Roe, R-Tenn., 69",TRUE,"7/21/2014",21,7,"Rep. Phil Roe"," R","Tenn.",69
"472","Rep. Robert B. Aderholt, R-Ala., 50",TRUE,"7/22/2014",22,7,"Rep. Robert B. Aderholt"," R","Ala.",50
"473","Rep. John B. Larson, D-Conn., 66",TRUE,"7/22/2014",22,7,"Rep. John B. Larson"," D","Conn.",66
"475","Rep. Andy Barr, R-Ky., 41",TRUE,"7/24/2014",24,7,"Rep. Andy Barr"," R","Ky.",41
"476","Sen. Claire McCaskill, D-Mo., 61",TRUE,"7/24/2014",24,7,"Sen. Claire McCaskill"," D","Mo.",61
"478","Rep. Markwayne Mullin, R-Okla., 37",TRUE,"7/26/2014",26,7,"Rep. Markwayne Mullin"," R","Okla.",37
"479","Rep. Martha Roby, R-Ala., 38",TRUE,"7/26/2014",26,7,"Rep. Martha Roby"," R","Ala.",38
"481","Rep. William Lacy Clay, D-Mo., 58",TRUE,"7/27/2014",27,7,"Rep. William Lacy Clay"," D","Mo.",58
"482","Rep. Glenn Thompson, R-Pa., 55",TRUE,"7/27/2014",27,7,"Rep. Glenn Thompson"," R","Pa.",55
"484","Rep. Mark Meadows, R-N.C., 55",TRUE,"7/28/2014",28,7,"Rep. Mark Meadows"," R","N.C.",55
"486","Rep. Diana DeGette, D-Colo., 57",TRUE,"7/29/2014",29,7,"Rep. Diana DeGette"," D","Colo.",57
"487","Rep. Jeff Denham, R-Calif., 47",TRUE,"7/29/2014",29,7,"Rep. Jeff Denham"," R","Calif.",47
"488","Rep. Denny Heck, D-Wash., 62",TRUE,"7/29/2014",29,7,"Rep. Denny Heck"," D","Wash.",62
"490","Rep. Sean Patrick Maloney, D-N.Y., 48",TRUE,"7/30/2014",30,7,"Rep. Sean Patrick Maloney"," D","N.Y.",48
"492","Rep. Joe Wilson, R-S.C., 67",TRUE,"7/31/2014",31,7,"Rep. Joe Wilson"," R","S.C.",67
"494","Sen. Christopher S. Murphy, D-Conn., 41",TRUE,"8/3/2014",3,8,"Sen. Christopher S. Murphy"," D","Conn.",41
"496","Rep. Keith Ellison, D-Minn., 51",TRUE,"8/4/2014",4,8,"Rep. Keith Ellison"," D","Minn.",51
"497","Rep. Hakeem Jeffries, D-N.Y., 44",TRUE,"8/4/2014",4,8,"Rep. Hakeem Jeffries"," D","N.Y.",44
"498","Rep. Tom Rice, R-S.C., 57",TRUE,"8/4/2014",4,8,"Rep. Tom Rice"," R","S.C.",57
"500","Rep. Mike Doyle, D-Pa., 61",TRUE,"8/5/2014",5,8,"Rep. Mike Doyle"," D","Pa.",61
"502","Rep. Mike McIntyre, D-N.C., 58",TRUE,"8/6/2014",6,8,"Rep. Mike McIntyre"," D","N.C.",58
"504","Rep. Dan Kildee, D-Mich., 59",TRUE,"8/11/2014",11,8,"Rep. Dan Kildee"," D","Mich.",59
"505","Rep. Billy Long, R-Mo., 59",TRUE,"8/11/2014",11,8,"Rep. Billy Long"," R","Mo.",59
"507","Rep. Tom Marino, R-Pa., 62",TRUE,"8/13/2014",13,8,"Rep. Tom Marino"," R","Pa.",62
"508","Rep. Peter J. Visclosky, D-Ind., 65",TRUE,"8/13/2014",13,8,"Rep. Peter J. Visclosky"," D","Ind.",65
"510","Rep. Louise M. Slaughter, D-N.Y., 85",TRUE,"8/14/2014",14,8,"Rep. Louise M. Slaughter"," D","N.Y.",85
"511","Rep. Mark Pocan, D-Wis, 50",TRUE,"8/14/2014",14,8,"Rep. Mark Pocan"," D","Wis",50
"513","Del. Eni F.H. Faleomavaega, D-A.S., 71",TRUE,"8/15/2014",15,8,"Del. Eni F.H. Faleomavaega"," D","A.S.",71
"514","Rep. Robert Pittenger, R-N.C., 66",TRUE,"8/15/2014",15,8,"Rep. Robert Pittenger"," R","N.C.",66
"515","Rep. Maxine Waters, D-Calif., 76",TRUE,"8/15/2014",15,8,"Rep. Maxine Waters"," D","Calif.",76
"517","Rep. Earl Blumenauer, D-Ore., 66",TRUE,"8/16/2014",16,8,"Rep. Earl Blumenauer"," D","Ore.",66
"518","Rep. Doug Collins, R-Ga., 48",TRUE,"8/16/2014",16,8,"Rep. Doug Collins"," R","Ga.",48
"520","Rep. David E. Price, R-N.C., 74",TRUE,"8/17/2014",17,8,"Rep. David E. Price"," R","N.C.",74
"521","Rep. Jackie Walorski, R-Ind., 51",TRUE,"8/17/2014",17,8,"Rep. Jackie Walorski"," R","Ind.",51
"523","Rep. Louie Gohmert, R-Texas, 61",TRUE,"8/18/2014",18,8,"Rep. Louie Gohmert"," R","Texas",61
"525","Rep. Kathy Castor, D-Fla., 48",TRUE,"8/20/2014",20,8,"Rep. Kathy Castor"," D","Fla.",48
"526","Rep. Steve Daines, R-Mont., 52",TRUE,"8/20/2014",20,8,"Rep. Steve Daines"," R","Mont.",52
"527","Rep. Ruben Hinojosa, D-Texas, 74",TRUE,"8/20/2014",20,8,"Rep. Ruben Hinojosa"," D","Texas",74
"528","Rep. Brad Schneider, D-Ill., 53",TRUE,"8/20/2014",20,8,"Rep. Brad Schneider"," D","Ill.",53
"530","Rep. Tim Griffin, R-Ark., 46",TRUE,"8/21/2014",21,8,"Rep. Tim Griffin"," R","Ark.",46
"531","Sen. Jon Tester, D-Mont., 58",TRUE,"8/21/2014",21,8,"Sen. Jon Tester"," D","Mont.",58
"533","Rep. Cory Gardner, R-Colo., 40",TRUE,"8/22/2014",22,8,"Rep. Cory Gardner"," R","Colo.",40
"534","Rep. Trey Gowdy, R-S.C., 50",TRUE,"8/22/2014",22,8,"Rep. Trey Gowdy"," R","S.C.",50
"536","Sen. Bob Corker, R-Tenn., 62",TRUE,"8/24/2014",24,8,"Sen. Bob Corker"," R","Tenn.",62
"537","Rep. John Culberson, R-Texas, 58",TRUE,"8/24/2014",24,8,"Rep. John Culberson"," R","Texas",58
"538","Sen. Joe Manchin III, D-W.Va., 67",TRUE,"8/24/2014",24,8,"Sen. Joe Manchin III"," D","W.Va.",67
"539","Rep. Steve Pearce, R-N.M., 67",TRUE,"8/24/2014",24,8,"Rep. Steve Pearce"," R","N.M.",67
"540","Rep. Todd Young, R-Ind., 42",TRUE,"8/24/2014",24,8,"Rep. Todd Young"," R","Ind.",42
"542","Rep. Ron Barber, D-Ariz., 69",TRUE,"8/25/2014",25,8,"Rep. Ron Barber"," D","Ariz.",69
"543","Rep. Susan W. Brooks, R-Ind., 54",TRUE,"8/25/2014",25,8,"Rep. Susan W. Brooks"," R","Ind.",54
"544","Rep. Elizabeth Esty, D-Conn., 55",TRUE,"8/25/2014",25,8,"Rep. Elizabeth Esty"," D","Conn.",55
"545","Rep. Raul Ruiz, D-Calif., 42",TRUE,"8/25/2014",25,8,"Rep. Raul Ruiz"," D","Calif.",42
"547","Rep. Melvin Watt, D-N.C., 68",TRUE,"8/26/2014",26,8,"Rep. Melvin Watt"," D","N.C.",68
"549","Rep. Julia Brownley, D-Calif., 62",TRUE,"8/28/2014",28,8,"Rep. Julia Brownley"," D","Calif.",62
"551","Sen. John McCain, R-Ariz., 78",TRUE,"8/29/2014",29,8,"Sen. John McCain"," R","Ariz.",78
"552","Rep. Dave Reichert, R-Wash., 64",TRUE,"8/29/2014",29,8,"Rep. Dave Reichert"," R","Wash.",64
"554","Rep. Marlin Stutzman, R-Ind., 38",TRUE,"8/31/2014",31,8,"Rep. Marlin Stutzman"," R","Ind.",38
"556","Rep. Ander Crenshaw, R-Fla., 70",TRUE,"9/1/2014",1,9,"Rep. Ander Crenshaw"," R","Fla.",70
"557","Rep. Al Green, D-Texas, 67",TRUE,"9/1/2014",1,9,"Rep. Al Green"," D","Texas",67
"559","Rep. Alcee L. Hastings, D-Fla., 78",TRUE,"9/5/2014",5,9,"Rep. Alcee L. Hastings"," D","Fla.",78
"560","Rep. Ann McLane Kuster, D-N.H., 58",TRUE,"9/5/2014",5,9,"Rep. Ann McLane Kuster"," D","N.H.",58
"562","Rep. Danny K. Davis, D-Ill., 73",TRUE,"9/6/2014",6,9,"Rep. Danny K. Davis"," D","Ill.",73
"563","Rep. William Keating, D-Mass., 62",TRUE,"9/6/2014",6,9,"Rep. William Keating"," D","Mass.",62
"564","Rep. John Kline, R-Minn., 67",TRUE,"9/6/2014",6,9,"Rep. John Kline"," R","Minn.",67
"565","Rep. Sander M. Levin, D-Mich., 83",TRUE,"9/6/2014",6,9,"Rep. Sander M. Levin"," D","Mich.",83
"566","Rep. Gloria Negrete McLeod, D-Calif., 73",TRUE,"9/6/2014",6,9,"Rep. Gloria Negrete McLeod"," D","Calif.",73
"568","Sen. Bernard Sanders, I-Vt., 73",TRUE,"9/8/2014",8,9,"Sen. Bernard Sanders"," I","Vt.",73
"569","Rep. Mike Simpson, R-Idaho, 64",TRUE,"9/8/2014",8,9,"Rep. Mike Simpson"," R","Idaho",64
"571","Sen. Chris Coons, D-Del., 51",TRUE,"9/9/2014",9,9,"Sen. Chris Coons"," D","Del.",51
"572","Rep. Howard “Buck” McKeon, R-Calif., 76",TRUE,"9/9/2014",9,9,"Rep. Howard “Buck” McKeon"," R","Calif.",76
"574","Rep. Cynthia M. Lummis, R-Wyo., 60",TRUE,"9/10/2014",10,9,"Rep. Cynthia M. Lummis"," R","Wyo.",60
"575","Rep. Ted Poe, R-Texas, 66",TRUE,"9/10/2014",10,9,"Rep. Ted Poe"," R","Texas",66
"577","Rep. Tim Murphy, R-Pa., 62",TRUE,"9/11/2014",11,9,"Rep. Tim Murphy"," R","Pa.",62
"579","Rep. Henry A. Waxman, D-Calif., 75",TRUE,"9/12/2014",12,9,"Rep. Henry A. Waxman"," D","Calif.",75
"581","Rep. Cedric L. Richmond, D-La., 41",TRUE,"9/13/2014",13,9,"Rep. Cedric L. Richmond"," D","La.",41
"582","Rep. Peter Roskam, R-Ill., 53",TRUE,"9/13/2014",13,9,"Rep. Peter Roskam"," R","Ill.",53
"583","Rep. Ann Wagner, R-Mo., 52",TRUE,"9/13/2014",13,9,"Rep. Ann Wagner"," R","Mo.",52
"584","Rep. Roger Williams, R-Texas, 65",TRUE,"9/13/2014",13,9,"Rep. Roger Williams"," R","Texas",65
"586","Rep. Ron DeSantis, R-Fla., 36",TRUE,"9/14/2014",14,9,"Rep. Ron DeSantis"," R","Fla.",36
"588","Rep. Joe L. Barton, R-Texas, 65",TRUE,"9/15/2014",15,9,"Rep. Joe L. Barton"," R","Texas",65
"589","Sen. Mark S. Kirk, R-Ill., 55",TRUE,"9/15/2014",15,9,"Sen. Mark S. Kirk"," R","Ill.",55
"591","Rep. Joaquin Castro, D-Texas, 40",TRUE,"9/16/2014",16,9,"Rep. Joaquin Castro"," D","Texas",40
"593","Sen. Charles E. Grassley, R-Iowa, 81",TRUE,"9/17/2014",17,9,"Sen. Charles E. Grassley"," R","Iowa",81
"595","Rep. John F. Tierney, D-Mass., 63",TRUE,"9/18/2014",18,9,"Rep. John F. Tierney"," D","Mass.",63
"597","Del. Donna M.C. Christensen, D-V.I., 69",TRUE,"9/19/2014",19,9,"Del. Donna M.C. Christensen"," D","V.I.",69
"598","Rep. Henry Cuellar, D-Texas, 59",TRUE,"9/19/2014",19,9,"Rep. Henry Cuellar"," D","Texas",59
"599","Sen. Tim Scott, R-S.C., 49",TRUE,"9/19/2014",19,9,"Sen. Tim Scott"," R","S.C.",49
"601","Rep. Bill Enyart, D-Ill., 65",TRUE,"9/22/2014",22,9,"Rep. Bill Enyart"," D","Ill.",65
"602","Rep. Robert W. Goodlatte, R-Va., 62",TRUE,"9/22/2014",22,9,"Rep. Robert W. Goodlatte"," R","Va.",62
"604","Rep. Mario Diaz Balart, R-Fla., 53",TRUE,"9/25/2014",25,9,"Rep. Mario Diaz Balart"," R","Fla.",53
"605","Rep. Doris Matsui, D-Calif., 70",TRUE,"9/25/2014",25,9,"Rep. Doris Matsui"," D","Calif.",70
"606","Rep. Gregory W. Meeks, D-N.Y., 61",TRUE,"9/25/2014",25,9,"Rep. Gregory W. Meeks"," D","N.Y.",61
"608","Rep. Beto O’Rourke, D-Texas, 42",TRUE,"9/26/2014",26,9,"Rep. Beto O’Rourke"," D","Texas",42
"610","Rep. Debbie Wasserman Schultz, D-Fla., 48",TRUE,"9/27/2014",27,9,"Rep. Debbie Wasserman Schultz"," D","Fla.",48
"612","Rep. Bill Cassidy, R-La., 57",TRUE,"9/28/2014",28,9,"Rep. Bill Cassidy"," R","La.",57
"614","Sen. Joe Donnelly, D-Ind., 59",TRUE,"9/29/2014",29,9,"Sen. Joe Donnelly"," D","Ind.",59
"615","Sen. Bill Nelson, D-Fla., 72",TRUE,"9/29/2014",29,9,"Sen. Bill Nelson"," D","Fla.",72
"617","Rep. Grace Meng, D-N.Y., 39",TRUE,"10/1/2014",1,10,"Rep. Grace Meng"," D","N.Y.",39
"618","Rep. Devin Nunes, R-Calif., 41",TRUE,"10/1/2014",1,10,"Rep. Devin Nunes"," R","Calif.",41
"620","Rep. Hank Johnson, D-Ga., 60",TRUE,"10/2/2014",2,10,"Rep. Hank Johnson"," D","Ga.",60
"622","Rep. Karen Bass, D-Calif., 61",TRUE,"10/3/2014",3,10,"Rep. Karen Bass"," D","Calif.",61
"623","Rep. Sean P. Duffy, R-Wis., 43",TRUE,"10/3/2014",3,10,"Rep. Sean P. Duffy"," R","Wis.",43
"624","Rep. Allyson Y. Schwartz, D-Pa., 66",TRUE,"10/3/2014",3,10,"Rep. Allyson Y. Schwartz"," D","Pa.",66
"626","Rep. Joseph P. Kennedy III, D-Mass., 34",TRUE,"10/4/2014",4,10,"Rep. Joseph P. Kennedy III"," D","Mass.",34
"628","Sen. Benjamin L. Cardin, D-Md., 71",TRUE,"10/5/2014",5,10,"Sen. Benjamin L. Cardin"," D","Md.",71
"630","Rep. Kerry Bentivolio, R-Mich., 63",TRUE,"10/6/2014",6,10,"Rep. Kerry Bentivolio"," R","Mich.",63
"631","Rep. Lloyd Doggett, D-Texas, 68",TRUE,"10/6/2014",6,10,"Rep. Lloyd Doggett"," D","Texas",68
"632","Rep. Brian Higgins, D-N.Y., 55",TRUE,"10/6/2014",6,10,"Rep. Brian Higgins"," D","N.Y.",55
"633","Rep. Steve Scalise, R-La., 49",TRUE,"10/6/2014",6,10,"Rep. Steve Scalise"," R","La.",49
"635","Rep. Bill Foster, D-Ill., 59",TRUE,"10/7/2014",7,10,"Rep. Bill Foster"," D","Ill.",59
"637","Rep. Tom Price, R-Ga., 60",TRUE,"10/8/2014",8,10,"Rep. Tom Price"," R","Ga.",60
